अज्ञातवास,1
गमिष्यति,1
स्थातव्यम्,3
स्थागापापच,1
भावे,6
मन्त्रे,5
वृषेषपचमनविदभूवीरा,1
उदात्त,14
ऊतियूतिजूतिसातिहेतिकीर्त्तय,1
व्रजयजो,1
क्यप्,2
संज्ञायाम्,39
समजनिषदनिपतमनविदषुञ्शीङ्भृञिण,1
प्रत्ययात्,3
गुरो,2
हल,9
षिद्भिदादिभ्य,1
अङ्,2
चिन्तिपूजिकथिकुम्बिचर्च,1
आत,16
उपसर्गे,4
ण्यासश्रन्थ,1
युच्,3
रोगाख्यायाम्,1
ण्वुल्,1
बहुलम्,33
विभाषा,49
आख्यानपरिप्रश्नयो,1
इञ्,4
आक्रोशे,4
नञि,1
अनि,1
कृत्यल्युट,1
कर्मणि,16
येन,30
संस्पर्शात्,1
कर्तु,3
शरीरसुखम्,1
करणाधिकरणयो,1
पुंसि,3
घ,8
प्रायेण,1
गोचरसंचरवहव्रजव्यजापणनिगमा,1
अवे,2
तॄस्त्रो,1
घञ्,2
अध्यायन्यायोद्यावसंहारा,1
उदङ्क,1
अनुदके,2
जालम्,1
आनाय,1
खन,1
कर्तृकर्मणो,1
भूकृञो,1
अन्येभ्य,3
दृश्यते,6
वर्तमानसामीप्ये,1
वर्तमानवत्,1
आशंसायाम्,1
भूतवत्,1
अनद्यतनवत्,1
क्रियाप्रबन्धसामीप्ययो,1
मर्यादावचने,1
अवरस्मिन्,1
कालविभागे,1
अनहोरात्राणाम्,1
उताप्यो,2
गर्हायाम्,3
लट्,3
अपिजात्वो,1
अनवकॢप्त्यमर्षयो,1
अकिंवृत्ते,1
जातुयदो,1
लिङ्,7
शेषे,3
लृट्,2
अयदौ,1
समर्थयो,1
कामप्रवेदने,1
अकच्चिति,1
सम्भवाने,1
अलम्,9
चेत्,44
सिद्धाप्रयोगे,1
धातौ,2
सम्भावनवचने,1
अयदि,1
हेतुहेतुमतो,1
इच्छार्थेभ्यो,1
वर्त्तमाने,3
विधिनिमन्त्रणामन्त्रणाधीष्टसम्प्रश्नप्रार्थनेषु,1
प्रैषातिसर्गप्राप्तकालेषु,1
कृत्या,2
ऊर्ध्वमौहूर्तिके,2
अर्हे,1
कृत्यतृच,1
आवश्यकाधमर्ण्ययो,1
णिनि,4
क्रियासमभिहारे,2
लोट्,1
लोट,2
हिस्वौ,1
तध्वमो,1
समुच्चये,1
अन्यतरस्याम्,90
यथाविधि,3
अनुप्रयोग,2
पूर्वस्मिन्,1
उपसंवादाशङ्कयो,1
तुमर्थे,1
सेसेनसेसेन्क्सेकसेनध्यैध्यैन्कध्यैकध्यैन्शध्यैशध्यैन्तवैतवेङ्तवेन,1
भावलक्षणे,1
स्थेण्कृञ्वदिचरिहुतमिजनिभ्य,1
तोसुन्,1
अलङ्खल्वो,1
प्रतिषेधयो,1
प्राचाम्,16
क्त्वा,2
उदीचाम्,6
माङ,1
व्यतीहारे,1
समानकर्त्तृकयो,1
पूर्वकाले,1
यदि,52
अनाकाङ्क्षे,1
अग्रेप्रथमपूर्वेषु,1
कृञ,7
खमुञ्,1
अन्यथैवंकथमित्थंसु,1
सिद्धाप्रयोग,1
यथातथयो,1
असूयाप्रतिवचने,1
वर्षप्रमाणे,1
ऊलोप,1
अन्यतरास्यम्,1
कर्त्रो,1
जीवपुरुषयो,1
नशिवहो,1
कषादिषु,1
उपदंश,1
तृतीयायाम्,1
हिंसार्थानाम्,1
समानकर्मकाणाम्,1
सप्तम्याम्,2
उपपीडरुधकर्ष,1
द्वितीयायाम्,2
स्वाङ्गे,1
अध्रुवे,1
विशिपतिपदिस्कन्दाम्,1
व्याप्यमानासेव्यमानयो,1
नाम्नि,1
आदिशिग्रहो,1
अव्यये,1
अयथाभिप्रेताख्याने,1
क्त्वाणमुलौ,1
तिर्यचि,1
अपवर्गे,1
अन्वचि,1
आनुलोम्ये,2
शकधृषज्ञाग्लाघटरभलभक्रमसहार्हास्त्यर्थेषु,1
तुमुन्,1
पर्याप्तिवचनेषु,1
अलमर्थेषु,1
कर्त्तरि,6
कृत्,5
भव्यगेयप्रवचनीयोपस्थानीयजन्याप्लाव्यापात्या,1
ल,2
अकर्मकेभ्य,1
कृत्यक्तखलर्था,1
आदिकर्मणि,1
क्त,4
गत्यर्थाकर्मकश्लिषशीङ्स्थाऽऽसवसजनरुहजीर्यतिभ्य,1
भीमादय,1
अपादाने,2
ताभ्याम्,2
उणादय,2
अधिकरणे,4
ध्रौव्यगतिप्रत्यवसानार्थेभ्य,1
टित,1
आत्मनेपदानाम्,1
टे,6
थास,1
से,3
लिट,2
तझयो,1
एशिरेच्,1
परस्मैपदानाम्,1
णलतुसुस्थलथुसणल्वमा,1
विद,1
लट,2
ब्रुव,4
पञ्चानाम्,1
आदित,3
लङ्वत्,1
ए,4
उ,7
हि,112
अपित्,2
मे,54
नि,18
आम्,5
एत,4
सवाभ्याम्,1
वामौ,1
आट्,3
उत्तमस्य,2
पित्,1
लेट,1
अडाटौ,1
इत,35
लोप,27
परस्मैपदेषु,3
स,350
नित्यम्,43
ङित,2
तस्थस्थमिपाम्,1
तांतंताम,1
लिङ,2
सीयुट्,1
यासुट्,1
ङित्,2
कित्,2
आशिषि,7
इट,3
अत्,8
झे,1
जुस्,1
लङ,1
शाकटायनस्य,2
द्विष,2
आर्द्धधातुकम्,1
शेष,6
छन्दसि,86
उभयथा,7
अजाद्यत,1
टाप्,1
ऋन्नेभ्य,1
ङीप्,3
उगित,2
वन,1
पाद,2
टप्,1
ऋचि,2
षट्‍स्वस्रादिभ्य,1
अन,9
बहुव्रीहे,3
डप्,1
उभाभ्याम्,1
यञ,1
ष्फ,1
तद्धित,2
कौरव्यमाण्डूकाभ्याम्,1
अपरिमाणबिस्ताचितकम्बल्येभ्य,1
तद्धितलुकि,1
काण्डान्तात्,1
क्षेत्रे,2
पुरुषात्,1
प्रमाणे,1
ऊधस,2
ङीष्,2
संख्याऽव्ययादे,1
दामहायनान्तात्,1
उपधालोपिन,1
संज्ञाछन्दसो,2
केवलमामकभागधेयपापापरसमानार्यकृतसुमङ्गलभेषजात्,1
रात्रे,2
अजसौ,1
अन्तर्वत्पतिवतो,1
नुक्,2
पत्यु,1
न,25
यज्ञसंयोगे,2
सपत्न्यादिषु,1
पूतक्रतो,1
वृषाकप्यग्निकुसितकुसीदानाम्,1
मनो,2
वर्णात्,2
अनुदात्तात्,2
तोपधात्,1
त,5
अन्यत,2
षिद्गौरादिभ्य,1
जानपदकुण्डगोणस्थलभाजनागकालनीलकुशकामुककबरात्,1
वृत्त्यमत्रावपनाकृत्रिमाश्राणास्थौल्यवर्णानाच्छादनायोविकारमैथुनेच्छाकेशवेशेषु,1
शोणात्,1
उत,9
गुणवचनात्,2
बह्वादिभ्य,1
भुव,11
पुंयोगात्,1
आख्यायाम्,1
इन्द्रवरुणभवशर्वरुद्रमृडहिमारण्ययवयवनमातुलाचार्याणाम्,1
आनुक्,1
क्रीतात्,2
करणपूर्वात्,1
क्तात्,2
अल्पाख्यायाम्,1
अन्तोदात्तात्,2
अस्वाङ्गपूर्वपदात्,1
स्वाङ्गात्,4
उपसर्जनात्,1
असंयोगोपधात्,1
नासिकोदरौष्ठजङ्‍घादन्तकर्णशृङ्गात्,1
सहनञ्‍विद्यमानपूर्वात्,1
नखमुखात्,1
दीर्घजिह्वी,1
दिक्पूर्वपदात्,3
सखी,2
अशिश्वी,1
भाषायाम्,5
जाते,5
अस्त्रीविषयात्,1
अयोपधात्,1
पाककर्णपर्णपुष्पफलमूलवालोत्तरपदात्,1
मनुष्यजाते,1
ऊङ्,1
बाह्वन्तात्,1
पङ्गो,1
ऊरूत्तरपदात्,1
औपम्ये,2
संहितशफलक्षणवामादे,1
कद्रुकमण्डल्वो,1
शार्ङ्गरवाद्यञ,1
ङीन्,1
यङ,5
चाप्,1
आवट्यात्,1
यून,2
ति,7
अणिञो,2
अनार्षयो,1
गुरूपोत्तमयो,1
ष्यङ्,1
गोत्रे,7
क्रौड्यादिभ्य,1
दैवयज्ञिशौचिवृक्षिसात्यमुग्रिकाण्ठेविद्धिभ्य,1
समर्थानाम्,1
प्रथमात्,1
प्राक्,18
दीव्यत,1
अण्,41
अश्वपत्यादिभ्य,1
दित्यदित्यादित्यपत्युत्तरपदात्,1
ण्य,5
उत्सादिभ्य,1
अञ्,18
स्त्रीपुंसाभ्याम्,1
नञ्स्नञौ,1
भवनात्,1
द्विगो,5
लुक्,20
अनपत्ये,3
अलुक्,2
अचि,20
फक्फिञो,1
तस्य,21
अपत्यम्,3
एक,17
गोत्रात्,2
यूनि,2
अस्त्रियाम्,6
बाह्वादिभ्य,1
